1,홍길동,94,73,54,221,73.6666666667,1
2,유관순,98,85,73,256,85.3333333333,1
3,이순신,72,80,66,218,72.6666666667,1
4,강감찬,53,82,69,204,68,1
5,김구,88,84,58,230,76.6666666667,1
6,김유신,96,82,73,251,83.6666666667,1
7,홍길자,66,65,65,196,65.3333333333,1
8,홍길순,56,94,51,201,67,1
9,aoneal8,98,98,97,293,97.6666666667,1
10,glinder9,94,59,83,236,78.6666666667,1
11,atilnea,94,94,51,239,79.6666666667,1
12,kquinnellyb,70,89,95,254,84.6666666667,1
13,abessonc,91,95,80,266,88.6666666667,1
14,cdelacosted,79,50,86,215,71.6666666667,1
15,jbergeaue,60,54,88,202,67.3333333333,1
16,ssatef,88,53,100,241,80.3333333333,1
17,cdraayerg,95,81,83,259,86.3333333333,1
18,kawmackh,100,81,71,252,84,1
19,kmeesoni,100,66,94,260,86.6666666667,1
20,kquaylej,65,73,56,194,64.6666666667,1
21,dmactrustiek,58,61,74,193,64.3333333333,1
22,apiolal,74,72,50,196,65.3333333333,1
23,mwardallm,79,72,69,220,73.3333333333,1
24,emcilmorown,76,82,94,252,84,1
25,jmacmenamyo,53,86,54,193,64.3333333333,1
26,stesyrop,93,81,71,245,81.6666666667,1
27,gbarhamsq,66,51,60,177,59,1
28,napdellr,97,63,62,222,74,1
29,gwoodcocks,66,87,63,216,72,1
30,dmonckmant,66,79,66,211,70.3333333333,1
31,mfehneru,61,54,91,206,68.6666666667,1
32,ayeudev,90,97,82,269,89.6666666667,1
33,ecosgrivew,91,90,82,263,87.6666666667,1
34,cbangx,68,78,61,207,69,1
35,abickerstaffy,61,82,56,199,66.3333333333,1
36,asheircliffez,50,52,86,188,62.6666666667,1
37,aamoore10,52,53,74,179,59.6666666667,1
38,tscammonden11,91,66,90,247,82.3333333333,1
39,bgippes12,71,52,98,221,73.6666666667,1
40,srawkesby13,75,100,73,248,82.6666666667,1
41,eblumson14,99,80,85,264,88,1
42,bburgher15,54,99,64,217,72.3333333333,1
43,utaffley16,67,77,78,222,74,1
44,larch17,61,68,96,225,75,1
45,dleech18,97,92,67,256,85.3333333333,1
46,mwaterdrinker19,66,79,77,222,74,1
47,fwilding1a,63,96,52,211,70.3333333333,1
48,swells1b,96,57,84,237,79,1
49,mworden1c,53,88,74,215,71.6666666667,1
50,mdownes1d,62,70,78,210,70,1
51,bmilburne1e,95,94,54,243,81,1
52,rwalesby1f,96,78,86,260,86.6666666667,1
53,pknightly1g,95,91,78,264,88,1
54,tglide1h,97,53,80,230,76.6666666667,1
55,fstraniero1i,55,77,52,184,61.3333333333,1
56,fskipp1j,70,62,85,217,72.3333333333,1
57,tmays1k,67,96,62,225,75,1
58,mbyrkmyr1l,81,100,61,242,80.6666666667,1
59,eakester1m,59,57,69,185,61.6666666667,1
60,ihuguet1n,84,94,57,235,78.3333333333,1
61,dbente1o,82,52,77,211,70.3333333333,1
62,sgann1p,52,60,86,198,66,1
63,tquixley1q,61,95,90,246,82,1
64,egoulstone1r,88,52,69,209,69.6666666667,1
65,ereynolds1s,56,90,65,211,70.3333333333,1
66,tmassel1t,72,95,60,227,75.6666666667,1
67,dhamlyn1u,67,52,65,184,61.3333333333,1
68,lcostell1v,65,99,86,250,83.3333333333,1
69,dimpson1w,83,71,68,222,74,1
70,pburney1x,50,55,67,172,57.3333333333,1
71,msans1y,75,61,67,203,67.6666666667,1
72,pabisetti1z,79,87,92,258,86,1
73,hgrinley20,54,92,57,203,67.6666666667,1
74,hesmonde21,60,89,88,237,79,1
75,jgledhill22,90,50,68,208,69.3333333333,1
76,agawkroge23,84,58,79,221,73.6666666667,1
77,tdessant24,58,85,64,207,69,1
78,lferminger25,57,89,86,232,77.3333333333,1
79,bhowat26,93,76,85,254,84.6666666667,1
80,vsherr27,92,95,99,286,95.3333333333,1
81,kdeble28,60,67,63,190,63.3333333333,1
82,ebellanger29,70,96,85,251,83.6666666667,1
83,bfahy2a,66,78,90,234,78,1
84,vlabbett2b,76,97,77,250,83.3333333333,1
85,mtosney2c,86,64,83,233,77.6666666667,1
86,dbroadstock2d,80,67,83,230,76.6666666667,1
87,fmylchreest2e,63,64,76,203,67.6666666667,1
88,ldaborn2f,96,89,77,262,87.3333333333,1
89,aghidetti2g,53,77,78,208,69.3333333333,1
90,dhardson2h,71,95,100,266,88.6666666667,1
91,kcamilli2i,58,78,58,194,64.6666666667,1
92,menderle2j,94,99,75,268,89.3333333333,1
93,ywyllcocks2k,63,100,79,242,80.6666666667,1
94,gmashal2l,68,50,78,196,65.3333333333,1
95,vglasscock2m,92,69,65,226,75.3333333333,1
96,jparrott2n,81,73,55,209,69.6666666667,1
97,abeenham2o,53,82,62,197,65.6666666667,1
98,scawdery2p,72,64,82,218,72.6666666667,1
99,erudledge2q,98,92,95,285,95,1
100,cdelaspee2r,72,96,59,227,75.6666666667,1
